"Sample","ReadID","sampled_methylation","allele"
"NGS_Nanog_KO_Rep3","Read_1",0.719500452803026,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_2",0.722292641794366,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_3",0.72011329434009,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_4",0.713414099113442,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_5",0.720410031205143,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_6",0.709654727636765,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_7",0.717140893190756,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_8",0.71613095618315,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_9",0.709389829636546,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_10",0.730592511499114,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_11",0.720416679025933,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_12",0.70925319443486,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_13",0.714785217759679,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_14",0.716500134828782,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_15",0.72028930585712,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_16",0.719552910950864,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_17",0.726163686277446,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_18",0.720472009561965,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_19",0.718535176278676,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_20",0.721673370384526,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_21",0.72414486003395,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_22",0.719060398997811,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_23",0.721444141799882,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_24",0.716831993377592,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_25",0.722808247893104,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_26",0.724622702662815,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_27",0.718179664343727,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_28",0.71316780447108,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_29",0.722600754482327,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_30",0.716934156100503,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_31",0.734603424477742,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_32",0.716343058741744,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_33",0.71897055717166,"Subpopulation_1"
"NGS_Nanog_KO_Rep3","Read_34",0.713819472758926,"Subpopulation_1"
