"Sample","clone","sampled_methylation"
"Sanger_H19_LOI_Rep1","Clone_1",0.98699373415591
"Sanger_H19_LOI_Rep1","Clone_2",0.978088680669723
"Sanger_H19_LOI_Rep1","Clone_3",0.974994705012771
"Sanger_H19_LOI_Rep1","Clone_4",0.979329671257992
"Sanger_H19_LOI_Rep1","Clone_5",0.983242106390166
"Sanger_H19_LOI_Rep1","Clone_6",0.989359808728817
"Sanger_H19_LOI_Rep1","Clone_7",0.981601521497582
"Sanger_H19_LOI_Rep1","Clone_8",0.983477650564925
"Sanger_H19_LOI_Rep1","Clone_9",0.975663652907515
"Sanger_H19_LOI_Rep1","Clone_10",0.976910713585378
"Sanger_H19_LOI_Rep1","Clone_11",0.986110394173103
"Sanger_H19_LOI_Rep1","Clone_12",0.986394484655343
"Sanger_H19_LOI_Rep1","Clone_13",0.972294759791486
"Sanger_H19_LOI_Rep1","Clone_14",0.963778235446449
"Sanger_H19_LOI_Rep1","Clone_15",0.982385371673966
"Sanger_H19_LOI_Rep1","Clone_16",0.974533782157996
