"Sample","clone","sampled_methylation"
"Sanger_Nanog_KO_Rep1","Clone_1",0.711768673400313
"Sanger_Nanog_KO_Rep1","Clone_2",0.723104165822792
"Sanger_Nanog_KO_Rep1","Clone_3",0.719413435336306
"Sanger_Nanog_KO_Rep1","Clone_4",0.712173748740781
"Sanger_Nanog_KO_Rep1","Clone_5",0.723447302074018
"Sanger_Nanog_KO_Rep1","Clone_6",0.725570234000298
"Sanger_Nanog_KO_Rep1","Clone_7",0.722015906152365
"Sanger_Nanog_KO_Rep1","Clone_8",0.716713654564033
"Sanger_Nanog_KO_Rep1","Clone_9",0.718314414837841
"Sanger_Nanog_KO_Rep1","Clone_10",0.719076029875425
"Sanger_Nanog_KO_Rep1","Clone_11",0.729373316308133
"Sanger_Nanog_KO_Rep1","Clone_12",0.718697658407104
"Sanger_Nanog_KO_Rep1","Clone_13",0.728667342861935
"Sanger_Nanog_KO_Rep1","Clone_14",0.720018516959789
"Sanger_Nanog_KO_Rep1","Clone_15",0.722495298362802
"Sanger_Nanog_KO_Rep1","Clone_16",0.70819966277947
