"Sample","clone","sampled_methylation"
"Sanger_H19_Normal_Rep1","Clone_1",0.0165812531193313
"Sanger_H19_Normal_Rep1","Clone_2",0.0184736532260247
"Sanger_H19_Normal_Rep1","Clone_3",0.985645103145072
"Sanger_H19_Normal_Rep1","Clone_4",0.985637542645668
"Sanger_H19_Normal_Rep1","Clone_5",0.0263720734794439
"Sanger_H19_Normal_Rep1","Clone_6",0.978257377862336
"Sanger_H19_Normal_Rep1","Clone_7",0.0243354581993207
"Sanger_H19_Normal_Rep1","Clone_8",0.984896898561624
"Sanger_H19_Normal_Rep1","Clone_9",0.988869114721888
"Sanger_H19_Normal_Rep1","Clone_10",0.0164146972245581
"Sanger_H19_Normal_Rep1","Clone_11",0.976897724794168
"Sanger_H19_Normal_Rep1","Clone_12",0.0224988203407792
"Sanger_H19_Normal_Rep1","Clone_13",0.0159307894476307
"Sanger_H19_Normal_Rep1","Clone_14",0.977592503911701
"Sanger_H19_Normal_Rep1","Clone_15",0.0161040442117404
"Sanger_H19_Normal_Rep1","Clone_16",0.982169358307678
