"Sample","clone","sampled_methylation"
"Sanger_H19_Normal_Rep3","Clone_1",0.0163008158824261
"Sanger_H19_Normal_Rep3","Clone_2",0.0121500145310407
"Sanger_H19_Normal_Rep3","Clone_3",0.0156857851533933
"Sanger_H19_Normal_Rep3","Clone_4",0.97414929239725
"Sanger_H19_Normal_Rep3","Clone_5",0.981173072058182
"Sanger_H19_Normal_Rep3","Clone_6",0.979681217232986
"Sanger_H19_Normal_Rep3","Clone_7",0.0224946007079859
"Sanger_H19_Normal_Rep3","Clone_8",0.0224043727899611
"Sanger_H19_Normal_Rep3","Clone_9",0.972895061389178
"Sanger_H19_Normal_Rep3","Clone_10",0.015153297283312
"Sanger_H19_Normal_Rep3","Clone_11",0.973354328350935
"Sanger_H19_Normal_Rep3","Clone_12",0.983846815526425
"Sanger_H19_Normal_Rep3","Clone_13",0.0220040903611133
"Sanger_H19_Normal_Rep3","Clone_14",0.983324563864676
"Sanger_H19_Normal_Rep3","Clone_15",0.0271752270425106
"Sanger_H19_Normal_Rep3","Clone_16",0.987257534129777
