"Sample","clone","sampled_methylation"
"Sanger_Nanog_WT_Rep2","Clone_1",0.453695035544
"Sanger_Nanog_WT_Rep2","Clone_2",0.461838089155843
"Sanger_Nanog_WT_Rep2","Clone_3",0.451332469886036
"Sanger_Nanog_WT_Rep2","Clone_4",0.465321621063766
"Sanger_Nanog_WT_Rep2","Clone_5",0.457387757703972
"Sanger_Nanog_WT_Rep2","Clone_6",0.46874004555886
"Sanger_Nanog_WT_Rep2","Clone_7",0.451419159195859
"Sanger_Nanog_WT_Rep2","Clone_8",0.45486278649553
"Sanger_Nanog_WT_Rep2","Clone_9",0.457191087349776
"Sanger_Nanog_WT_Rep2","Clone_10",0.461232555410507
"Sanger_Nanog_WT_Rep2","Clone_11",0.457960131932723
"Sanger_Nanog_WT_Rep2","Clone_12",0.458917346834737
"Sanger_Nanog_WT_Rep2","Clone_13",0.453908975685172
"Sanger_Nanog_WT_Rep2","Clone_14",0.443465822179339
"Sanger_Nanog_WT_Rep2","Clone_15",0.452253289057443
"Sanger_Nanog_WT_Rep2","Clone_16",0.450884065923658
