"Sample","ReadID","sampled_methylation","allele"
"NGS_Nanog_WT_Rep1","Read_1",0.452951733862781,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_2",0.455937268046397,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_3",0.456446757327156,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_4",0.457013386291034,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_5",0.452054113869071,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_6",0.456598832770407,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_7",0.455749987068447,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_8",0.457602046848618,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_9",0.462257371477727,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_10",0.459142917440301,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_11",0.448935822505276,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_12",0.444358505407375,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_13",0.452073976615386,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_14",0.449041245466663,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_15",0.461990033009863,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_16",0.459729098329081,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_17",0.448515629060886,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_18",0.455756290333193,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_19",0.457044204128272,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_20",0.459302079807272,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_21",0.446418638925977,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_22",0.459169826267337,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_23",0.464941227858633,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_24",0.456812408628057,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_25",0.470413001414425,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_26",0.457721549382213,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_27",0.454467323719564,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_28",0.457157145060385,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_29",0.45750376555731,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_30",0.458483800625342,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_31",0.44681561610756,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_32",0.461115923477036,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_33",0.462569325183285,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_34",0.455526034315155,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_35",0.453808252432645,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_36",0.456326248989565,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_37",0.456887560172131,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_38",0.458549213191318,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_39",0.453904651908028,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_40",0.459254269409448,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_41",0.453736526724668,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_42",0.448042059306656,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_43",0.445544058604657,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_44",0.450624995485139,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_45",0.453338987019682,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_46",0.45695509546163,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_47",0.453621894948857,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_48",0.452391496959189,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_49",0.449204642075476,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_50",0.472325277669476,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_51",0.453287556893474,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_52",0.453452712997659,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_53",0.457599728916645,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_54",0.457667926833891,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_55",0.453389339370272,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_56",0.457169250664218,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_57",0.460317042746362,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_58",0.453593240749147,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_59",0.44463635969583,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_60",0.456915041438807,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_61",0.460472921513957,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_62",0.451513743006094,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_63",0.444450524449065,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_64",0.451501753525651,"Subpopulation_1"
"NGS_Nanog_WT_Rep1","Read_65",0.463696885127761,"Subpopulation_1"
