"Sample","clone","sampled_methylation"
"Sanger_H19_Hetero_Phased_Rep3","Clone_1",0.975496617085893
"Sanger_H19_Hetero_Phased_Rep3","Clone_2",0.980821739684846
"Sanger_H19_Hetero_Phased_Rep3","Clone_3",0.0239637790241466
"Sanger_H19_Hetero_Phased_Rep3","Clone_4",0.0142131881706767
"Sanger_H19_Hetero_Phased_Rep3","Clone_5",0.0229022870136671
"Sanger_H19_Hetero_Phased_Rep3","Clone_6",0.97995873748791
"Sanger_H19_Hetero_Phased_Rep3","Clone_7",0.0196045976638559
"Sanger_H19_Hetero_Phased_Rep3","Clone_8",0.979813047786948
"Sanger_H19_Hetero_Phased_Rep3","Clone_9",0.98281783716486
"Sanger_H19_Hetero_Phased_Rep3","Clone_10",0.986599263851573
"Sanger_H19_Hetero_Phased_Rep3","Clone_11",0.0256235649972529
"Sanger_H19_Hetero_Phased_Rep3","Clone_12",0.0196856806178087
"Sanger_H19_Hetero_Phased_Rep3","Clone_13",0.0209582360528924
"Sanger_H19_Hetero_Phased_Rep3","Clone_14",0.0258183349120245
"Sanger_H19_Hetero_Phased_Rep3","Clone_15",0.98680954884378
"Sanger_H19_Hetero_Phased_Rep3","Clone_16",0.976214238050592
