"Sample","clone","sampled_methylation"
"Sanger_Nanog_WT_Rep3","Clone_1",0.465448357967022
"Sanger_Nanog_WT_Rep3","Clone_2",0.455392641505915
"Sanger_Nanog_WT_Rep3","Clone_3",0.464040533811039
"Sanger_Nanog_WT_Rep3","Clone_4",0.45143428767809
"Sanger_Nanog_WT_Rep3","Clone_5",0.463280258212649
"Sanger_Nanog_WT_Rep3","Clone_6",0.456042596130243
"Sanger_Nanog_WT_Rep3","Clone_7",0.453810696910321
"Sanger_Nanog_WT_Rep3","Clone_8",0.459075039597124
"Sanger_Nanog_WT_Rep3","Clone_9",0.460659508127801
"Sanger_Nanog_WT_Rep3","Clone_10",0.449634901504819
"Sanger_Nanog_WT_Rep3","Clone_11",0.456017864822568
"Sanger_Nanog_WT_Rep3","Clone_12",0.468650185704441
"Sanger_Nanog_WT_Rep3","Clone_13",0.461093794281937
"Sanger_Nanog_WT_Rep3","Clone_14",0.459044319569296
"Sanger_Nanog_WT_Rep3","Clone_15",0.46660952709037
"Sanger_Nanog_WT_Rep3","Clone_16",0.457576218728313
